,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Financial Assets,Investments And Advances,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Land And Improvements,Current Assets,Other Current Assets,Hedging Assets Current,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Symbol,Company Name,Treasury Shares Number,Current Deferred Liabilities,Current Deferred Revenue,Current Capital Lease Obligation,Current Accrued Expenses,Restricted Cash,Other Short Term Investments,Cash Financial,Commercial Paper,Investmentin Financial Assets,Available For Sale Securities,Leases,Properties,Cash Equivalents,Treasury Stock,Non Current Deferred Taxes Liabilities,Dividends Payable,Buildings And Improvements,Preferred Stock,Other Payable,Income Tax Payable,Other Investments,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Preferred Shares Number,Preferred Stock Equity,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Prepaid Assets,Liabilities Heldfor Sale Non Current,Investmentsin Joint Venturesat Cost,Assets Held For Sale Current,Taxes Receivable,Other Equity Interest,Current Provisions,Interest Payable,Non Current Note Receivables,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investmentsin Associatesat Cost,Preferred Securities Outside Stock Equity,Line Of Credit,Current Notes Payable,Receivables Adjustments Allowances,Notes Receivable,Loans Receivable,Foreign Currency Translation Adjustments,Minimum Pension Liabilities,Unrealized Gain Loss,Held To Maturity Securities,Investment Properties,Duefrom Related Parties Current,Current Deferred Assets,Dueto Related Parties Current,Inventories Adjustments Allowances,Non Current Accrued Expenses,Accrued Interest Receivable,Trading Securities,Investmentsin Subsidiariesat Cost,Total Partnership Capital,Limited Partnership Capital,Dueto Related Parties Non Current,Duefrom Related Parties Non Current,Fixed Assets Revaluation Reserve,Current Deferred Taxes Liabilities,Current Deferred Taxes Assets,General Partnership Capital
3/31/2024,178472464,178472464,1190000000,2548000000,3812000000,6542000000,1840000000,3812000000,,3994000000,6463000000,5534000000,1540000000,3994000000,-3628000000,-3628000000,-1564000000,9184000000,2000000,2000000,8794000000,5753000000,606000000,925000000,704000000,704000000,134000000,,,2469000000,,2469000000,915000000,3041000000,951000000,79000000,79000000,79000000,331000000,1680000000,1680000000,94000000,1586000000,14328000000,9447000000,177000000,127000000,616000000,474000000,295000000,324000000,1000000,969000000,182000000,36000000,146000000,6577000000,-13382000000,19959000000,,,,,4881000000,452000000,22000000,2048000000,563000000,326000000,281000000,878000000,1001000000,132000000,869000000,1358000000,1358000000,AA,Alcoa Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,178472464,178472464,867000000,1915000000,4068000000,6062000000,1375000000,4068000000,104000000,4251000000,5983000000,5845000000,1594000000,4251000000,-3645000000,-3645000000,-1293000000,9187000000,2000000,2000000,8310000000,5280000000,36000000,1092000000,815000000,721000000,450000000,62000000,20000000,1836000000,104000000,1732000000,989000000,3030000000,792000000,79000000,79000000,79000000,357000000,1802000000,1802000000,88000000,1714000000,14155000000,9750000000,166000000,125000000,653000000,520000000,333000000,336000000,3000000,979000000,183000000,37000000,146000000,6785000000,-13596000000,20381000000,569000000,8096000000,11459000000,257000000,4405000000,466000000,29000000,2158000000,586000000,355000000,287000000,930000000,808000000,152000000,656000000,944000000,944000000,AA,Alcoa Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,176969091,176969091,884000000,1810000000,4326000000,6319000000,1741000000,4326000000,,4509000000,6318000000,6092000000,1583000000,4509000000,-3547000000,-3547000000,-1125000000,9179000000,2000000,2000000,7825000000,5201000000,538000000,927000000,665000000,665000000,207000000,,,1809000000,,1809000000,1055000000,2624000000,704000000,1000000,1000000,1000000,337000000,1582000000,1582000000,110000000,1472000000,13917000000,9552000000,150000000,159000000,620000000,565000000,395000000,336000000,3000000,1004000000,183000000,37000000,146000000,6532000000,-13304000000,19836000000,,,,,4365000000,420000000,33000000,2190000000,577000000,404000000,323000000,886000000,796000000,105000000,691000000,926000000,926000000,AA,Alcoa Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,176969091,176969091,819000000,1809000000,4657000000,6651000000,2074000000,4657000000,,4842000000,6650000000,6458000000,1616000000,4842000000,-3394000000,-3394000000,-939000000,9173000000,2000000,2000000,7670000000,5074000000,514000000,912000000,687000000,687000000,221000000,,,1808000000,,1808000000,932000000,2596000000,697000000,1000000,1000000,1000000,340000000,1558000000,1558000000,67000000,1491000000,14128000000,9458000000,155000000,158000000,645000000,490000000,320000000,341000000,5000000,1034000000,185000000,39000000,146000000,6445000000,-13369000000,19814000000,,,,,4670000000,381000000,93000000,2400000000,630000000,435000000,334000000,1001000000,806000000,104000000,702000000,990000000,990000000,AA,Alcoa Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,176969091,176969091,669000000,1807000000,4515000000,6497000000,2161000000,4515000000,,4690000000,6496000000,6296000000,1606000000,4690000000,-3655000000,-3655000000,-819000000,9162000000,2000000,2000000,8073000000,5288000000,527000000,1116000000,679000000,679000000,208000000,,,1806000000,,1806000000,952000000,2785000000,756000000,1000000,1000000,1000000,332000000,1696000000,1696000000,207000000,1489000000,14369000000,9423000000,153000000,152000000,589000000,503000000,340000000,373000000,1000000,1051000000,175000000,30000000,145000000,6426000000,-13223000000,19649000000,,,,,4946000000,455000000,106000000,2395000000,603000000,402000000,335000000,1055000000,852000000,99000000,753000000,1138000000,1138000000,AA,Alcoa Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,656045635,656045635,31726000000,40060000000,-11640000000,26830000000,-10451000000,-11640000000,7730000000,-5500000000,22728000000,-5500000000,,-5500000000,-4877000000,-4877000000,-8001000000,7371000000,7000000,7000000,69884000000,44891000000,1503000000,,2709000000,2709000000,,5994000000,5994000000,34685000000,6457000000,28228000000,,24993000000,,5375000000,4102000000,4102000000,,7474000000,2927000000,,2927000000,64384000000,49842000000,1660000000,,,2986000000,2986000000,,,,6140000000,2049000000,4091000000,39056000000,-22440000000,61496000000,1126000000,7899000000,,10397000000,14542000000,777000000,,2500000000,,,,,2070000000,,2070000000,8300000000,604000000,AAL,American Airlines Group Inc.,,12144000000,12144000000,1273000000,4547000000,895000000,7696000000,604000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,654273192,654273192,32324000000,40663000000,-11344000000,27700000000,-8490000000,-11344000000,7761000000,-5202000000,24068000000,-5202000000,,-5202000000,-4894000000,-4894000000,-7689000000,7374000000,7000000,7000000,68260000000,46198000000,1558000000,,3044000000,3044000000,,5874000000,5874000000,35722000000,6452000000,29270000000,,22062000000,,4941000000,3632000000,3632000000,,7468000000,2353000000,,2353000000,63058000000,49486000000,1753000000,,,2888000000,2888000000,,,,6142000000,2051000000,4091000000,38703000000,-22097000000,60800000000,760000000,,,10307000000,13572000000,658000000,,2400000000,,,,,2026000000,,2026000000,7578000000,578000000,AAL,American Airlines Group Inc.,0,9653000000,9653000000,1309000000,5115000000,910000000,7000000000,578000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,653504063,653504063,32912000000,41205000000,-11280000000,28353000000,-7672000000,-11280000000,7716000000,-5136000000,24586000000,-5136000000,,-5136000000,-4788000000,-4788000000,-7708000000,7353000000,7000000,7000000,70847000000,46467000000,1653000000,,2929000000,2929000000,,5834000000,5834000000,36051000000,6329000000,29722000000,,24380000000,,5154000000,3767000000,3767000000,,8062000000,2123000000,,2123000000,65711000000,49003000000,1788000000,,,2875000000,2875000000,,,,6144000000,2053000000,4091000000,38196000000,-21571000000,59767000000,799000000,7878000000,,10156000000,16708000000,719000000,,2461000000,,,,,2021000000,,2021000000,10582000000,577000000,AAL,American Airlines Group Inc.,,11164000000,11164000000,1387000000,5939000000,925000000,10005000000,577000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,653286761,653286761,34032000000,42583000000,-10531000000,30261000000,-6096000000,-10531000000,7937000000,-4385000000,26387000000,-4385000000,,-4385000000,-4550000000,-4550000000,-7163000000,7321000000,7000000,7000000,71645000000,47329000000,1473000000,,2694000000,2694000000,,5884000000,5884000000,37278000000,6506000000,30772000000,,24316000000,,5305000000,3874000000,3874000000,,6989000000,2406000000,,2406000000,67260000000,49040000000,1887000000,,,2660000000,2660000000,,,,6146000000,2055000000,4091000000,38347000000,-21062000000,59409000000,767000000,8076000000,,9996000000,18220000000,822000000,,2280000000,,,,,2073000000,,2073000000,12061000000,614000000,AAL,American Airlines Group Inc.,,12022000000,12022000000,1431000000,4583000000,984000000,11447000000,614000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,652817674,652817674,34713000000,42929000000,-11919000000,29394000000,-6938000000,-11919000000,7764000000,-5771000000,25815000000,-5771000000,,-5771000000,-4567000000,-4567000000,-8501000000,7290000000,7000000,7000000,72557000000,47967000000,1438000000,,2737000000,2737000000,,5881000000,5881000000,37911000000,6325000000,31586000000,,24590000000,,5018000000,3579000000,3579000000,,7033000000,2455000000,,2455000000,66786000000,49134000000,1916000000,,,3088000000,3088000000,,,,6148000000,2057000000,4091000000,37982000000,-20546000000,58528000000,640000000,7838000000,,10030000000,17652000000,907000000,,2308000000,,,,,1989000000,,1989000000,11493000000,452000000,AAL,American Airlines Group Inc.,,12539000000,12539000000,1439000000,4578000000,955000000,11041000000,452000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
