hh,_purchase_desc,quantity,brand,dollar_spent,beer_floz,price_per_floz,container,promo,market,buyertype,income,childrenUnder6,children6to17,age,employment,degree,cow,race,microwave,dishwasher,tvcable,singlefamilyhome,npeople
2000946,BUD LT BR CN 12P,1,BUD LIGHT,8.14,144,0.056527778,CAN,FALSE,RURAL ILLINOIS,male,20-60k,FALSE,FALSE,50+,none,Grad,none/retired/student,white,TRUE,TRUE,premium,FALSE,1
2003036,BUD LT BR CN 24P,1,BUD LIGHT,17.48,288,0.060694444,CAN,FALSE,ATLANTA,married,100-200k,FALSE,FALSE,50+,full,College,clerical/sales/service,white,TRUE,TRUE,basic,TRUE,2
2003036,BUD LT BR CN 24P,2,BUD LIGHT,33.92,576,0.058888889,CAN,FALSE,ATLANTA,married,100-200k,FALSE,FALSE,50+,full,College,clerical/sales/service,white,TRUE,TRUE,basic,TRUE,2
2003036,BUD LT BR CN 30P,2,BUD LIGHT,34.74,720,0.04825,CAN,FALSE,ATLANTA,married,100-200k,FALSE,FALSE,50+,full,College,clerical/sales/service,white,TRUE,TRUE,basic,TRUE,2
2003036,BUD LT BR CN 36P,2,BUD LIGHT,40.48,864,0.046851852,CAN,FALSE,ATLANTA,married,100-200k,FALSE,FALSE,50+,full,College,clerical/sales/service,white,TRUE,TRUE,basic,TRUE,2
2003036,BUD LT BR CN 36P,2,BUD LIGHT,42.96,864,0.049722222,CAN,FALSE,ATLANTA,married,100-200k,FALSE,FALSE,50+,full,College,clerical/sales/service,white,TRUE,TRUE,basic,TRUE,2
2003036,BUD LT BR CN 36P,2,BUD LIGHT,40.96,864,0.047407407,CAN,FALSE,ATLANTA,married,100-200k,FALSE,FALSE,50+,full,College,clerical/sales/service,white,TRUE,TRUE,basic,TRUE,2
2001521,BUD LT BR CN 6P,5,BUD LIGHT,30.6,480,0.06375,CAN,FALSE,RURAL INDIANA,male,60-100k,FALSE,FALSE,50+,none,College,none/retired/student,white,TRUE,TRUE,none,FALSE,1
2001521,BUD LT BR CN 6P,1,BUD LIGHT,9.99,96,0.1040625,CAN,FALSE,RURAL INDIANA,male,60-100k,FALSE,FALSE,50+,none,College,none/retired/student,white,TRUE,TRUE,none,FALSE,1
2001521,BUD LT BR CN 6P,5,BUD LIGHT,30.7,480,0.063958333,CAN,FALSE,RURAL INDIANA,male,60-100k,FALSE,FALSE,50+,none,College,none/retired/student,white,TRUE,TRUE,none,FALSE,1
2001521,BUD LT BR CN 6P,3,BUD LIGHT,18.36,288,0.06375,CAN,FALSE,RURAL INDIANA,male,60-100k,FALSE,FALSE,50+,none,College,none/retired/student,white,TRUE,TRUE,none,FALSE,1
2001521,BUD LT BR CN 6P,5,BUD LIGHT,31.05,480,0.0646875,CAN,FALSE,RURAL INDIANA,male,60-100k,FALSE,FALSE,50+,none,College,none/retired/student,white,TRUE,TRUE,none,FALSE,1
2001521,BUD LT BR CN 6P,1,BUD LIGHT,9.99,96,0.1040625,CAN,FALSE,RURAL INDIANA,male,60-100k,FALSE,FALSE,50+,none,College,none/retired/student,white,TRUE,TRUE,none,FALSE,1
2001978,BUD LT BR CN,2,BUD LIGHT,2.98,48,0.062083333,CAN,FALSE,SYRACUSE,married,60-100k,FALSE,FALSE,50+,part,HS,clerical/sales/service,white,TRUE,TRUE,none,TRUE,2
