,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Symbol,Company Name,Interest Income,Rent Expense Supplemental,Total Operating Income As Reported,Average Dilution Earnings,Other Special Charges,Impairment Of Capital Assets,Interest Income Non Operating,Selling And Marketing Expense,Otherunder Preferred Stock Dividend,Amortization,Amortization Of Intangibles Income Statement,Preferred Stock Dividends,Earnings From Equity Interest Net Of Tax,General And Administrative Expense,Other Gand A,Net Income Discontinuous Operations,Gain On Sale Of Business,Write Off,Salaries And Wages,Other Taxes,Provision For Doubtful Accounts,Total Other Finance Cost,Depreciation Income Statement,Insurance And Claims,Rent And Landing Fees,Excise Taxes,Depletion Income Statement,Securities Amortization
3/31/2024,-13403076.92,0.055385,105000000,-242000000,-242000000,-252000000,161000000,2404000000,-137000000,-298000000,-27000000,27000000,-23403076.92,-252000000,2636000000,179000000,179000000,-1.41,-1.41,-252000000,-252000000,-252000000,55000000,-307000000,-307000000,-18000000,-325000000,-261000000,8000000,-213000000,-11000000,202000000,-27000000,-29000000,-27000000,27000000,-37000000,232000000,,161000000,,11000000,60000000,195000000,2404000000,2599000000,2599000000,AA,Alcoa Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,26880000,0.21,-14000000,128000000,128000000,-150000000,163000000,2425000000,114000000,-49000000,-28000000,28000000,-251120000,-150000000,2734000000,178466610,178466610,-0.84,-0.84,-150000000,-150000000,-150000000,77000000,-227000000,-227000000,150000000,-77000000,90000000,11000000,79000000,0,-165000000,-49000000,49000000,-28000000,28000000,-139000000,309000000,,163000000,163000000,14000000,64000000,170000000,2425000000,2595000000,2595000000,AA,Alcoa Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,-12741228.07,0.153509,44000000,-83000000,-83000000,-168000000,163000000,2469000000,-39000000,-202000000,-26000000,26000000,-97741228.07,-168000000,2697000000,178000000,178000000,-0.94,-0.94,-168000000,-168000000,-168000000,25000000,-193000000,-193000000,-35000000,-228000000,-107000000,16000000,-21000000,1000000,22000000,-40000000,-62000000,-26000000,26000000,-95000000,228000000,163000000,163000000,163000000,9000000,56000000,133000000,2469000000,2602000000,2602000000,AA,Alcoa Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,1050000,0.21,76000000,5000000,5000000,-102000000,153000000,2515000000,81000000,-72000000,-27000000,27000000,-105950000,-102000000,2726000000,178000000,178000000,-0.57,-0.57,-102000000,-102000000,-102000000,19000000,-121000000,-121000000,22000000,-99000000,-30000000,9000000,-25000000,-1000000,24000000,-44000000,30000000,-27000000,27000000,-42000000,211000000,153000000,153000000,153000000,6000000,52000000,169000000,2515000000,2684000000,2684000000,AA,Alcoa Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,-25410000,0.21,120000000,-121000000,-121000000,-231000000,153000000,2404000000,-1000000,-154000000,-26000000,26000000,-135410000,-231000000,2621000000,178000000,178000000,-1.3,-1.3,-231000000,-231000000,-231000000,1000000,-232000000,-232000000,52000000,-180000000,-203000000,13000000,-163000000,-14000000,149000000,-95000000,42000000,-26000000,26000000,49000000,217000000,153000000,153000000,153000000,10000000,54000000,266000000,2404000000,2670000000,2670000000,AA,Alcoa Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,-17118644.07,0.244552,154000000,-70000000,-70000000,-312000000,,10549000000,84000000,84000000,-379000000,497000000,-259118644.1,-312000000,12493000000,655847000,655847000,-0.48,-0.48,-312000000,-312000000,-312000000,,-312000000,-312000000,-101000000,-413000000,-111000000,-41000000,-70000000,,13000000,,,-379000000,497000000,77000000,1944000000,1536000000,,,,408000000,2021000000,10549000000,12570000000,11645000000,AAL,American Airlines Group Inc.,118000000,1147000000,7000000,,57000000,,118000000,408000000,,,,,,,,,,,,,,,,,,,,
12/31/2023,-1890000,0.21,560000000,-9000000,-9000000,19000000,,10436000000,551000000,551000000,-384000000,519000000,26110000,19000000,12397000000,657079000,654725000,0.03,0.03,-14000000,19000000,19000000,,19000000,19000000,13000000,32000000,-249000000,-240000000,-9000000,,2000000,,,-384000000,519000000,665000000,1961000000,1519000000,,,,442000000,2626000000,10436000000,13062000000,12209000000,AAL,American Airlines Group Inc.,135000000,1052000000,656000000,,7000000,0,135000000,442000000,,,,,,,,,,,,,,,,,,,,
9/30/2023,-199427536.2,0.210145,796000000,-949000000,-949000000,-545000000,,10795000000,-153000000,-153000000,-369000000,537000000,204572463.8,-545000000,12756000000,654119000,654119000,-0.83,-0.83,-545000000,-545000000,-545000000,,-545000000,-545000000,-145000000,-690000000,-1047000000,-98000000,-949000000,,0,,,-369000000,537000000,726000000,1961000000,1531000000,,,,430000000,2687000000,10795000000,13482000000,12614000000,AAL,American Airlines Group Inc.,168000000,1087000000,-223000000,0,949000000,0,168000000,430000000,,,,,,,,,,,,,,,,,,,,
6/30/2023,0,0.241066,2311000000,,,1338000000,,9908000000,2311000000,2311000000,-386000000,548000000,1338000000,1338000000,11892000000,719345000,653602000,1.88,2.05,1338000000,1338000000,1338000000,,1338000000,1338000000,425000000,1763000000,-14000000,-14000000,,,,,,-386000000,548000000,2163000000,1984000000,1495000000,,,,489000000,4147000000,9908000000,14055000000,13175000000,AAL,American Airlines Group Inc.,162000000,1106000000,2163000000,,,,162000000,489000000,,,,,,,,,,,,,,,,,,,,
3/31/2023,-2730000,0.21,570000000,-13000000,-13000000,10000000,,9840000000,557000000,557000000,-415000000,540000000,20270000,10000000,11738000000,656707000,652000000,0.02,0.02,10000000,10000000,10000000,,10000000,10000000,7000000,17000000,-19000000,-6000000,-13000000,,21000000,,,-415000000,540000000,451000000,1898000000,1460000000,,,,438000000,2349000000,9840000000,12189000000,11326000000,AAL,American Airlines Group Inc.,125000000,1052000000,438000000,,-8000000,0,125000000,438000000,,,,,,,,,,,,,,,,,,,,
3/31/2024,0,0.158,30736000000,,,23636000000,2836000000,48482000000,30736000000,27900000000,,,23636000000,23636000000,62853000000,15464709000,15405856000,1.53,1.53,23636000000,23636000000,23636000000,,23636000000,23636000000,4422000000,28058000000,158000000,158000000,,,,,,,,27900000000,14371000000,,,,7903000000,6468000000,42271000000,48482000000,90753000000,90753000000,AAPL,Apple Inc,,,27900000000,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,0,0.159,43221000000,,,33916000000,2848000000,64720000000,43221000000,40373000000,,,33916000000,33916000000,79202000000,15576641000,15509763000,2.18,2.19,33916000000,33916000000,33916000000,,33916000000,33916000000,6407000000,40323000000,-50000000,-50000000,,,,,,,,40373000000,14482000000,,,,7696000000,6786000000,54855000000,64720000000,1.19575E+11,1.19575E+11,AAPL,Apple Inc,,,40373000000,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,0,0.149715,30653000000,,,22956000000,2653000000,49071000000,30653000000,28000000000,-18000000,1002000000,22956000000,22956000000,62529000000,15672400000,15599434000,1.46,1.47,22956000000,22956000000,22956000000,,22956000000,22956000000,4042000000,26998000000,47000000,47000000,,,,,,-18000000,1002000000,26969000000,13458000000,,,,7307000000,6151000000,40427000000,49071000000,89498000000,89498000000,AAPL,Apple Inc,984000000,,26969000000,,,,984000000,,,,,,,,,,,,,,,,,,,,,
6/30/2023,0,0.125,26783000000,,,19881000000,3052000000,45384000000,26783000000,23731000000,-18000000,998000000,19881000000,19881000000,58799000000,15775021000,15697614000,1.26,1.27,19881000000,19881000000,19881000000,,19881000000,19881000000,2852000000,22733000000,-247000000,-247000000,,,,,,-18000000,998000000,22998000000,13415000000,,,,7442000000,5973000000,36413000000,45384000000,81797000000,81797000000,AAPL,Apple Inc,980000000,,22998000000,,,,980000000,,,,,,,,,,,,,,,,,,,,,
3/31/2023,0,0.149,31216000000,,,24160000000,2898000000,52860000000,31216000000,28318000000,-12000000,930000000,24160000000,24160000000,66518000000,15847050000,15787154000,1.52,1.53,24160000000,24160000000,24160000000,,24160000000,24160000000,4222000000,28382000000,64000000,64000000,,,,,,-12000000,930000000,28318000000,13658000000,,,,7457000000,6201000000,41976000000,52860000000,94836000000,94836000000,AAPL,Apple Inc,918000000,,28318000000,,,,918000000,,,,,,,,,,,,,,,,,,,,,
